,0
0,timestamp
timestamp,"Aug 4, 2019, 12:00 PM"
timestamp,"Aug 2, 2019, 8:53 PM"
timestamp,"Jul 22, 2019, 10:29 PM"
timestamp,"Jul 22, 2019, 10:28 PM"
timestamp,"Jul 8, 2019, 7:18 PM"
timestamp,"Jul 1, 2019, 6:06 PM"
timestamp,"Jul 1, 2019, 10:57 AM"
timestamp,"Jun 28, 2019, 2:39 PM"
timestamp,"Jun 19, 2019, 12:53 PM"
timestamp,"May 26, 2019, 7:45 PM"
timestamp,"May 14, 2019, 3:37 PM"
timestamp,"Apr 8, 2019, 10:54 PM"
timestamp,"Mar 25, 2019, 6:21 PM"
timestamp,"Mar 24, 2019, 5:57 PM"
timestamp,"Mar 24, 2019, 5:07 PM"
timestamp,"Mar 21, 2019, 7:18 PM"
timestamp,"Mar 21, 2019, 7:18 PM"
timestamp,"Mar 21, 2019, 5:27 PM"
timestamp,"Mar 14, 2019, 5:56 PM"
timestamp,"Feb 20, 2019, 3:57 PM"
timestamp,"Feb 16, 2019, 9:54 PM"
timestamp,"Feb 12, 2019, 11:28 PM"
timestamp,"Feb 12, 2019, 11:25 PM"
timestamp,"Feb 4, 2019, 9:58 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 7:32 PM"
timestamp,"Jan 8, 2019, 5:15 PM"
timestamp,"Jan 8, 2019, 5:15 PM"
timestamp,"Jan 4, 2019, 7:04 AM"
timestamp,"Dec 21, 2018, 4:45 PM"
timestamp,"Oct 21, 2018, 7:59 PM"
timestamp,"Oct 21, 2018, 7:59 PM"
timestamp,"Oct 21, 2018, 7:44 PM"
timestamp,"Oct 21, 2018, 7:44 PM"
timestamp,"Oct 8, 2018, 8:54 PM"
timestamp,"Aug 20, 2018, 9:52 PM"
timestamp,"Aug 4, 2018, 9:40 PM"
timestamp,"Jul 29, 2018, 8:53 PM"
timestamp,"Jun 24, 2018, 10:07 PM"
timestamp,"May 28, 2018, 1:09 PM"
timestamp,"Mar 12, 2018, 8:59 PM"
timestamp,"Mar 11, 2018, 8:26 PM"
timestamp,"Oct 14, 2019, 11:31 AM"
timestamp,"Oct 14, 2019, 10:45 AM"
timestamp,"Oct 14, 2019, 10:45 AM"
timestamp,"Oct 14, 2019, 10:45 AM"
timestamp,"Oct 14, 2019, 10:45 AM"
timestamp,"Oct 14, 2019, 10:44 AM"
timestamp,"Oct 10, 2019, 4:57 PM"
timestamp,"Oct 5, 2019, 1:27 PM"
timestamp,"Oct 5, 2019, 9:26 AM"
timestamp,"Oct 4, 2019, 11:58 AM"
timestamp,"Oct 4, 2019, 11:58 AM"
timestamp,"Oct 1, 2019, 11:21 AM"
timestamp,"Sep 30, 2019, 6:29 PM"
timestamp,"Sep 20, 2019, 2:56 PM"
timestamp,"Sep 20, 2019, 12:36 PM"
timestamp,"Sep 18, 2019, 4:09 PM"
timestamp,"Sep 17, 2019, 9:53 PM"
timestamp,"Sep 17, 2019, 9:53 PM"
timestamp,"Sep 17, 2019, 9:53 PM"
timestamp,"Sep 17, 2019, 9:53 PM"
timestamp,"Sep 15, 2019, 2:14 PM"
timestamp,"Sep 15, 2019, 8:51 AM"
timestamp,"Sep 15, 2019, 8:51 AM"
timestamp,"Sep 14, 2019, 8:34 PM"
timestamp,"Sep 14, 2019, 7:31 AM"
timestamp,"Sep 13, 2019, 3:10 PM"
timestamp,"Sep 13, 2019, 11:51 AM"
timestamp,"Sep 13, 2019, 11:51 AM"
timestamp,"Sep 13, 2019, 11:51 AM"
timestamp,"Sep 13, 2019, 11:50 AM"
timestamp,"Sep 11, 2019, 7:26 PM"
timestamp,"Sep 11, 2019, 7:26 PM"
timestamp,"Sep 11, 2019, 4:24 PM"
timestamp,"Sep 11, 2019, 4:23 PM"
timestamp,"Sep 11, 2019, 4:23 PM"
timestamp,"Sep 11, 2019, 1:19 PM"
timestamp,"Sep 10, 2019, 9:39 PM"
timestamp,"Sep 10, 2019, 9:16 PM"
timestamp,"Sep 8, 2019, 3:11 PM"
timestamp,"Sep 8, 2019, 12:17 PM"
timestamp,"Sep 7, 2019, 11:13 PM"
timestamp,"Sep 7, 2019, 11:13 PM"
timestamp,"Sep 7, 2019, 4:22 PM"
timestamp,"Sep 7, 2019, 2:53 PM"
timestamp,"Sep 7, 2019, 12:35 PM"
timestamp,"Sep 7, 2019, 11:52 AM"
timestamp,"Sep 7, 2019, 11:52 AM"
timestamp,"Sep 7, 2019, 8:56 AM"
timestamp,"Sep 7, 2019, 8:24 AM"
timestamp,"Sep 6, 2019, 12:55 PM"
timestamp,"Sep 6, 2019, 12:55 PM"
timestamp,"Sep 5, 2019, 8:04 PM"
