,0
0,2023-03-27 23:20:00-07:00
1,2023-03-27 23:08:49-07:00
2,2023-03-27 23:08:42-07:00
3,2023-03-27 23:02:52-07:00
4,2023-03-27 22:55:25-07:00
5,2023-03-27 22:55:19-07:00
6,2023-03-27 22:47:59-07:00
7,2023-03-27 22:42:15-07:00
8,2023-03-27 22:42:00-07:00
9,2023-03-27 22:39:24-07:00
10,2023-03-27 22:33:25-07:00
11,2023-03-27 22:31:24-07:00
12,2023-03-27 22:25:56-07:00
13,2023-03-27 22:18:08-07:00
14,2023-03-27 22:18:08-07:00
15,2023-03-27 14:14:11-07:00
16,2023-03-27 14:10:33-07:00
17,2023-03-27 14:02:38-07:00
18,2023-03-27 13:55:00-07:00
19,2023-03-27 13:48:36-07:00
20,2023-02-05 02:17:46-08:00
21,2023-02-05 02:12:55-08:00
22,2023-02-05 02:06:09-08:00
23,2023-02-05 02:05:58-08:00
24,2023-02-05 01:44:50-08:00
25,2023-02-05 01:28:25-08:00
26,2023-02-05 01:24:29-08:00
27,2023-02-05 01:21:15-08:00
28,2023-02-05 01:21:08-08:00
29,2023-02-05 01:21:02-08:00
30,2023-02-05 01:16:04-08:00
31,2023-02-05 01:15:57-08:00
32,2023-01-04 11:01:29-08:00
33,2023-01-04 11:01:22-08:00
34,2023-01-04 10:57:54-08:00
35,2023-01-04 10:51:55-08:00
36,2023-01-04 10:51:42-08:00
37,2023-01-04 10:39:19-08:00
38,2023-01-02 21:22:38-08:00
39,2023-01-02 21:22:32-08:00
40,2023-01-02 21:20:30-08:00
41,2023-01-02 21:20:09-08:00
42,2023-01-02 21:19:58-08:00
43,2023-01-02 21:16:50-08:00
44,2023-01-02 20:34:43-08:00
45,2023-01-02 20:34:30-08:00
46,2023-01-02 20:32:37-08:00
47,2023-01-02 20:30:21-08:00
48,2023-01-02 20:24:08-08:00
49,2023-01-02 20:18:04-08:00
50,2023-01-02 19:27:15-08:00
51,2022-12-29 22:58:41-08:00
52,2022-12-29 22:55:31-08:00
53,2022-12-29 22:55:14-08:00
54,2022-12-29 22:53:08-08:00
55,2022-12-29 22:45:10-08:00
56,2022-12-29 22:45:03-08:00
57,2022-12-29 22:39:24-08:00
58,2022-12-29 22:31:46-08:00
59,2022-12-29 22:26:05-08:00
60,2022-12-29 22:25:58-08:00
61,2022-12-29 22:20:26-08:00
62,2022-12-29 22:13:04-08:00
63,2022-12-29 21:59:54-08:00
64,2022-12-26 16:29:16-08:00
65,2022-12-26 16:29:09-08:00
66,2022-12-24 21:11:05-08:00
67,2022-12-24 21:10:56-08:00
68,2022-12-23 19:57:37-08:00
69,2022-12-23 19:57:10-08:00
70,2022-12-23 19:57:01-08:00
71,2022-12-23 18:38:44-08:00
72,2022-12-23 18:21:33-08:00
73,2022-12-23 18:19:09-08:00
74,2022-12-23 16:38:12-08:00
75,2022-12-23 16:38:03-08:00
76,2022-12-22 17:40:51-08:00
77,2022-12-22 17:34:52-08:00
78,2022-12-22 17:19:57-08:00
79,2022-12-22 17:19:48-08:00
80,2022-12-09 20:17:00-08:00
81,2022-12-08 17:41:23-08:00
82,2022-12-05 20:29:43-08:00
83,2022-12-05 20:20:21-08:00
84,2022-12-05 20:13:48-08:00
85,2022-12-05 20:12:39-08:00
86,2022-12-05 19:38:53-08:00
87,2022-12-05 19:38:38-08:00
88,2022-12-05 19:30:54-08:00
89,2022-12-05 19:30:39-08:00
90,2022-12-05 19:30:23-08:00
91,2022-12-05 19:25:21-08:00
92,2022-12-05 19:20:19-08:00
93,2022-12-05 19:15:55-08:00
94,2022-12-05 19:15:39-08:00
95,2022-12-05 19:11:02-08:00
96,2022-12-05 19:10:55-08:00
97,2022-12-05 19:07:42-08:00
98,2022-12-05 12:40:15-08:00
99,2022-12-05 12:35:59-08:00
100,2022-12-05 12:29:18-08:00
101,2022-12-05 12:21:52-08:00
102,2022-12-05 12:21:37-08:00
103,2022-12-05 12:17:19-08:00
104,2022-12-05 12:13:02-08:00
105,2022-12-05 12:12:56-08:00
106,2022-12-05 12:08:28-08:00
107,2022-12-05 12:08:19-08:00
108,2022-12-05 12:08:04-08:00
109,2022-12-04 12:54:28-08:00
110,2022-12-04 12:50:30-08:00
111,2022-12-04 12:50:23-08:00
112,2022-12-02 17:32:07-08:00
113,2022-11-19 20:20:06-08:00
114,2022-11-19 20:20:04-08:00
115,2022-11-19 20:19:59-08:00
116,2022-11-19 20:19:00-08:00
117,2022-11-19 20:18:17-08:00
118,2022-11-19 20:17:16-08:00
119,2022-11-19 20:16:37-08:00
120,2022-11-19 20:16:33-08:00
121,2022-11-19 20:16:13-08:00
122,2022-11-19 20:15:48-08:00
123,2022-11-19 20:05:10-08:00
124,2022-11-19 19:54:54-08:00
125,2022-11-19 19:48:19-08:00
126,2022-11-19 18:13:44-08:00
127,2022-11-19 18:06:30-08:00
128,2022-11-19 18:02:34-08:00
129,2022-11-15 23:02:02-08:00
130,2022-11-15 23:01:55-08:00
131,2022-11-15 23:01:48-08:00
132,2022-11-15 22:46:25-08:00
133,2022-11-13 00:51:42-08:00
134,2022-11-13 00:46:46-08:00
